name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
Only Blockchain,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9229910714285714,0.025995200000124896,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9508928571428572,0.026186000000052445,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8638392857142857,0.02134139999998297,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.8166666666666667,0.84,0.75,0.7924528301886793,0.8671875,0.02180450000014389,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.8166666666666667,0.9047619047619048,0.6785714285714286,0.7755102040816326,0.875,0.02757629999996425,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only FL,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9207589285714286,0.14730929999996079,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.85,0.88,0.7857142857142857,0.8301886792452831,0.9497767857142857,0.11420109999994565,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8683035714285714,0.10387579999996888,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.8166666666666667,0.84,0.75,0.7924528301886793,0.8694196428571429,0.13132960000007188,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.8166666666666667,0.9047619047619048,0.6785714285714286,0.7755102040816326,0.8705357142857143,0.13134680000007393,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only HE,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9229910714285714,1.9654269000000113,39190.78125,True,True,False,False,"train=0.02s, enc_infer=1.95s, ct_size=326.6 KiB"
Only HE,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9508928571428572,2.200603499999943,39190.6640625,True,True,False,False,"train=0.02s, enc_infer=2.19s, ct_size=326.6 KiB"
Only HE,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8638392857142857,2.3997592000002896,39160.078125,True,True,False,False,"train=0.02s, enc_infer=2.38s, ct_size=326.3 KiB"
Only HE,0.8166666666666667,0.84,0.75,0.7924528301886793,0.8671875,2.857133499999918,39182.578125,True,True,False,False,"train=0.03s, enc_infer=2.83s, ct_size=326.5 KiB"
Only HE,0.8166666666666667,0.9047619047619048,0.6785714285714286,0.7755102040816326,0.875,2.8442732999999407,39191.25,True,True,False,False,"train=0.02s, enc_infer=2.82s, ct_size=326.6 KiB"
Firdaus BC-FL-HE,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9207589285714286,2.828614900000048,26116.0400390625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H0': 16.68085106382979, 'H2': 17.255319148936174, 'H1': 14.255319148936172}"
Firdaus BC-FL-HE,0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9475446428571428,1.8060954000000038,26118.015625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H2': 16.46808510638298, 'H0': 16.191489361702125, 'H3': 12.65957446808511}"
