name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
Only Blockchain (LR),0.8152173913043478,0.8541666666666666,0.803921568627451,0.8282828282828283,0.8898852223816356,0.03503840000030323,80.5,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain (LR),0.8206521739130435,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.8957436633189861,0.03945260000000417,80.5,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain (LR),0.7934782608695652,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.8882113821138211,0.023841900000661553,80.5,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain (LR),0.8315217391304348,0.8446601941747572,0.8529411764705882,0.848780487804878,0.8916786226685796,0.03713919999972859,80.5,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain (LR),0.7880434782608695,0.794392523364486,0.8333333333333334,0.8133971291866029,0.8466044954567192,0.021993600000314473,80.5,True,True,True,True,"chain_blocks=3, accepted=4"
Only FL (LR),0.8097826086956522,0.845360824742268,0.803921568627451,0.8241206030150754,0.888211382113821,0.09070710000014515,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL (LR),0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.8953849832615973,0.07892080000056012,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL (LR),0.7934782608695652,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.8884505021520803,0.07824359999995067,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL (LR),0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8923959827833572,0.09257179999985965,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL (LR),0.7880434782608695,0.794392523364486,0.8333333333333334,0.8133971291866029,0.8479196556671449,0.1039413999997123,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only HE (LR),0.8152173913043478,0.8541666666666666,0.803921568627451,0.8282828282828283,0.8898852223816356,4.456200499999795,120182.90625,True,True,False,False,"train=0.02s, enc_infer=4.44s, ct_size=326.6 KiB"
Only HE (LR),0.8206521739130435,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.8957436633189861,4.422421799999938,120177.515625,True,True,False,False,"train=0.02s, enc_infer=4.40s, ct_size=326.6 KiB"
Only HE (LR),0.7934782608695652,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.8882113821138211,3.9025114000005487,119777.890625,True,True,False,False,"train=0.01s, enc_infer=3.89s, ct_size=325.5 KiB"
Only HE (LR),0.8315217391304348,0.8446601941747572,0.8529411764705882,0.848780487804878,0.8916786226685796,4.709536500000468,120178.953125,True,True,False,False,"train=0.02s, enc_infer=4.69s, ct_size=326.6 KiB"
Only HE (LR),0.7880434782608695,0.794392523364486,0.8333333333333334,0.8133971291866029,0.8466044954567192,4.628495199998724,120199.4375,True,True,False,False,"train=0.02s, enc_infer=4.61s, ct_size=326.6 KiB"
"Only HE (MLP, Path 2)",0.8206521739130435,0.8556701030927835,0.8137254901960784,0.8341708542713567,0.9017216642754663,0.09758710000005522,0.0,True,True,False,False,model=MLP h=16 (centralized HE inference)
"Only HE (MLP, Path 2)",0.842391304347826,0.8411214953271028,0.8823529411764706,0.861244019138756,0.8951458632233382,0.11916459999974904,0.0,True,True,False,False,model=MLP h=16 (centralized HE inference)
"Only HE (MLP, Path 2)",0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769,0.8794835007173601,0.14923439999984112,0.0,True,True,False,False,model=MLP h=16 (centralized HE inference)
"Only HE (MLP, Path 2)",0.8369565217391305,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8950263032042084,0.13263049999932264,0.0,True,True,False,False,model=MLP h=16 (centralized HE inference)
"Only HE (MLP, Path 2)",0.7880434782608695,0.8,0.8235294117647058,0.8115942028985508,0.8506695361071257,0.16385970000010275,0.0,True,True,False,False,model=MLP h=16 (centralized HE inference)
Firdaus BC-FL-HE,0.8043478260869565,0.8367346938775511,0.803921568627451,0.82,0.8890483022477282,2.1888552999998865,39179.05859375,False,False,True,False,"clusters=2, blocks=62, accepted=120, rejected=0, top_rewards={'H0': 25.571428571428555, 'H2': 25.585034013605437, 'H3': 25.53741496598638}"
Firdaus BC-FL-HE,0.8097826086956522,0.819047619047619,0.8431372549019608,0.8309178743961353,0.8931133428981348,2.6491132000001016,39172.1962890625,False,False,True,False,"clusters=2, blocks=62, accepted=120, rejected=0, top_rewards={'H1': 24.34013605442177, 'H3': 24.299319727891156, 'H2': 23.068027210884345}"
Firdaus BC-FL-HE,0.7934782608695652,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.8871353419416547,2.4878638000000137,39178.169921875,False,False,True,False,"clusters=2, blocks=62, accepted=120, rejected=0, top_rewards={'H0': 19.59183673469387, 'H2': 25.027210884353746, 'H1': 24.904761904761905}"
Firdaus BC-FL-HE,0.8260869565217391,0.8365384615384616,0.8529411764705882,0.8446601941747572,0.8941893830703013,2.6639335999998366,39174.97265625,False,False,True,False,"clusters=2, blocks=62, accepted=120, rejected=0, top_rewards={'H0': 23.945578231292522, 'H2': 23.877551020408163, 'H3': 23.884353741496597}"
Firdaus BC-FL-HE,0.7880434782608695,0.794392523364486,0.8333333333333334,0.8133971291866029,0.8486370157819224,2.066395200000443,39175.578125,False,False,True,False,"clusters=2, blocks=62, accepted=120, rejected=0, top_rewards={'H1': 23.93877551020408, 'H3': 24.210884353741488, 'H2': 24.544217687074823}"
Hybrid (Lite),0.8043478260869565,0.8367346938775511,0.803921568627451,0.82,0.8889287422285986,9.427428699999837,66753.4990234375,False,False,True,True,"clusters=2, blocks=62, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=7.48s"
Hybrid (Lite),0.8097826086956522,0.819047619047619,0.8431372549019608,0.8309178743961353,0.8932329029172645,10.639863200000036,66753.58203125,False,False,True,True,"clusters=2, blocks=62, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=8.26s"
Hybrid (Lite),0.7934782608695652,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.8872549019607843,12.56819860000087,66755.8701171875,False,False,True,True,"clusters=2, blocks=62, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=9.83s"
Hybrid (Lite),0.8315217391304348,0.8446601941747572,0.8529411764705882,0.848780487804878,0.8944285031085605,9.168383899999753,66753.287109375,False,False,True,True,"clusters=2, blocks=62, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=6.95s"
Hybrid (Lite),0.7880434782608695,0.794392523364486,0.8333333333333334,0.8133971291866029,0.848756575801052,9.51175239999975,66758.5830078125,False,False,True,True,"clusters=2, blocks=62, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=6.85s"
Hybrid (Quality-Weighted),0.8043478260869565,0.8367346938775511,0.803921568627451,0.82,0.8889287422285987,1.94544439999936,39176.99609375,False,False,True,True,"clusters=2, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, quality_beta=4.0, model=LR, aggregation=(size × val_acc^beta)"
Hybrid (Quality-Weighted),0.8097826086956522,0.819047619047619,0.8431372549019608,0.8309178743961353,0.8925155428024869,2.1921178999991753,39173.388671875,False,False,True,True,"clusters=2, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, quality_beta=4.0, model=LR, aggregation=(size × val_acc^beta)"
Hybrid (Quality-Weighted),0.7934782608695652,0.8018867924528302,0.8333333333333334,0.8173076923076923,0.8873744619799139,1.8569578000006004,39171.8720703125,False,False,True,True,"clusters=2, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, quality_beta=4.0, model=LR, aggregation=(size × val_acc^beta)"
Hybrid (Quality-Weighted),0.8315217391304348,0.8446601941747572,0.8529411764705882,0.848780487804878,0.8944285031085605,3.516236899999967,39176.9267578125,False,False,True,True,"clusters=2, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, quality_beta=4.0, model=LR, aggregation=(size × val_acc^beta)"
Hybrid (Quality-Weighted),0.782608695652174,0.7924528301886793,0.8235294117647058,0.8076923076923077,0.8491152558584409,2.6326085999999123,39174.1005859375,False,False,True,True,"clusters=2, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, quality_beta=4.0, model=LR, aggregation=(size × val_acc^beta)"
